Leadframesupplier,Rough,Leaddesign,Square,Dimple,Wiretype,Compound,Taping,Area,Unitperstrip,AssemblyCG,Outline,Subpackage,Leadframe12NC,cat_ppm
1,0,2,0,1,0,0,1,8.75,1496,0,41,76,19,A
1,0,2,0,1,0,0,1,11.25,972,1,42,77,22,A
1,0,2,1,2,0,0,1,25,473,2,12,15,47,A
1,0,2,1,1,0,0,1,16,689,3,32,64,14,A
1,1,2,1,1,0,3,1,9,1173,4,40,74,79,A
1,0,2,1,1,0,0,1,9,1173,5,40,73,31,A
1,1,2,1,1,0,3,1,9,1173,5,40,75,79,A
1,0,2,1,1,0,0,1,25,473,6,34,66,11,A
0,1,2,1,1,0,0,1,25,473,6,34,67,29,A
1,1,2,1,1,1,3,1,16,855,7,50,88,65,A
1,0,2,1,1,0,0,1,16,689,8,13,16,13,A
1,0,2,1,1,0,0,1,16,689,9,14,17,12,A
1,0,2,1,2,0,0,1,16,689,9,14,18,28,A
1,0,2,1,2,0,0,1,16,689,9,14,19,48,B
1,1,2,1,1,0,1,1,16,689,9,14,20,64,B
1,1,2,1,2,1,3,1,16,689,9,14,21,53,A
1,0,2,1,1,1,1,1,25,473,10,54,92,5,A
0,1,2,1,0,1,3,0,36,324,11,45,80,75,B
1,0,2,1,1,0,0,1,25,473,12,19,35,6,A
1,0,2,1,1,1,1,1,25,473,12,19,36,6,A
1,0,2,1,1,0,0,1,25,473,13,15,30,9,A
1,0,2,1,1,0,0,1,25,473,13,15,31,39,A
1,0,2,1,2,0,0,1,25,473,13,15,32,58,A
0,1,2,1,1,0,0,1,25,473,13,15,33,24,A
1,1,2,1,2,1,1,1,25,473,13,15,34,60,A
1,0,2,1,1,0,0,1,49,248,14,49,87,4,A
1,0,2,1,1,0,0,1,25,473,15,18,22,10,A
1,0,2,1,2,0,0,1,25,473,15,18,23,32,A
1,0,2,1,2,0,0,1,25,473,15,18,25,3,A
1,1,2,1,1,0,0,1,25,473,15,18,26,46,A
1,0,2,1,1,1,1,1,25,473,15,18,27,25,A
0,1,2,1,1,0,0,1,25,473,15,18,28,17,A
1,1,2,1,2,1,1,1,25,473,15,18,29,51,A
1,1,2,1,2,1,3,1,25,473,15,18,40,57,A
1,1,2,1,2,1,4,1,25,473,15,18,41,57,A
0,1,2,1,1,1,3,1,25,473,15,18,42,82,A
1,1,2,1,1,1,3,1,25,473,16,16,37,61,A
1,0,2,1,2,0,0,1,25,473,17,18,24,36,A
1,1,2,1,2,0,1,1,25,473,18,17,38,40,A
1,1,2,1,2,0,1,1,25,473,18,17,39,41,A
0,1,2,1,2,0,0,1,36,324,19,1,0,35,A
0,1,2,1,0,0,0,1,36,324,19,1,1,52,B
0,1,2,1,1,0,0,1,36,324,19,1,2,23,B
0,1,2,1,2,1,3,1,36,324,20,5,5,59,B
0,1,2,1,0,1,5,1,36,324,21,3,3,67,B
0,1,2,1,0,1,5,1,36,324,22,2,4,69,B
0,1,2,1,2,1,3,1,36,324,22,1,6,80,A
0,1,2,1,0,1,3,1,36,324,22,4,7,84,A
1,0,2,1,1,0,0,1,36,324,23,20,43,1,A
1,0,2,1,1,0,0,1,36,324,23,20,44,20,A
1,1,2,1,1,1,3,1,36,324,23,20,52,70,A
1,1,2,1,1,1,3,1,36,324,23,20,53,70,A
1,0,2,1,1,0,0,1,36,324,24,23,45,26,A
1,1,2,1,2,0,0,1,36,324,24,23,46,42,A
1,1,2,1,2,1,3,1,36,324,24,24,49,55,A
0,1,2,1,0,1,3,1,36,324,24,23,50,68,B
1,0,2,1,1,0,0,1,36,324,25,26,47,43,A
1,1,2,1,2,1,2,1,36,324,25,21,48,49,A
1,1,2,1,2,1,3,1,25,473,26,0,13,85,A
1,1,2,1,2,1,3,1,25,473,26,11,14,76,A
1,1,2,1,2,1,4,1,36,324,27,21,54,49,A
0,1,2,1,0,1,3,1,36,324,28,25,51,68,B
0,1,2,1,1,1,3,1,36,324,29,22,55,83,A
1,0,2,0,1,0,0,1,27,360,30,6,8,27,A
1,0,2,1,1,0,1,1,36,324,31,43,78,8,A
0,1,1,1,1,1,3,1,36,324,32,31,63,81,C
1,0,2,1,1,0,0,1,49,248,33,27,56,2,A
1,1,2,1,2,1,3,1,49,248,33,27,57,34,A
1,0,2,1,1,1,3,1,49,248,33,27,58,62,A
1,0,2,1,2,0,0,1,49,248,34,28,59,38,A
0,1,2,1,2,1,3,1,49,248,34,28,60,63,B
1,1,2,1,1,1,3,1,36,324,35,44,79,78,A
1,1,2,1,2,1,4,1,49,248,36,29,61,74,A
0,1,2,1,2,1,3,0,49,248,37,30,62,77,C
1,0,2,1,1,0,0,1,64,189,38,35,68,7,C
1,0,2,1,1,0,0,1,64,189,39,51,89,18,A
0,1,2,1,0,1,5,1,64,189,40,37,70,54,C
1,1,2,1,2,1,3,1,64,189,41,36,69,33,B
1,1,2,1,2,1,3,1,64,189,42,38,71,56,B
0,1,0,1,0,1,3,0,64,189,43,39,72,71,C
1,1,0,1,1,1,3,0,49,248,44,52,90,73,B
1,0,1,1,1,1,1,1,81,144,45,47,81,37,A
1,0,1,1,1,1,1,1,81,144,45,47,82,15,A
1,1,1,1,1,1,2,1,81,144,45,47,83,66,B
0,1,2,1,2,0,0,1,81,144,46,46,85,72,B
0,1,2,1,2,1,3,1,81,144,47,46,84,72,B
1,0,1,1,1,1,1,1,100,110,48,48,86,21,B
1,0,2,1,1,0,0,1,9,1173,49,33,65,50,A
1,0,2,1,1,0,0,1,16,689,50,55,93,13,A
1,0,2,0,1,0,0,1,18,621,51,9,11,16,A
1,0,2,1,1,0,0,1,4,2475,52,10,12,30,A
1,0,2,0,1,0,0,1,2.295,3990,53,53,91,0,A
1,0,2,0,1,0,0,1,2.52,3672,54,7,9,45,A
1,0,2,0,1,0,0,1,4.68,2106,55,8,10,44,A
